date,Manu. Sol.,Auto Sol.,Manu. Ind.,Dig. Bldg. Sol.,Manu. Sol..1,Elec. Ind. Sol.,Energy Sol.,Elec. Ind. Sol..1,Manu. Sol,Manu. Sol..2,Manu. Sol.1,Manu. Sol..3,Manu. Sol..4,Life Sci. Sol.,Manu. Sol..5,Retail Sol.,Agric. Sol,Manu. Sol..6,Energy Sol..1,CPG Sol.,Manu. Sol..7,CHIX,EUFN,VFAIX,US_Govt_Outlays_Transpose,Europe_Govt_Outlays_Transpose,China_Govt_Outlays_Transpose, NTTYY, DTEGY,ORAN, AMZN, GOOG,ROC_NBS_Manufacturing_PMI,US_ISM_Manufactoring_PMI,EU_Markit_Manufacturing_PMI
8/1/14,215351,35383,6690,10119,34796,17794,16177,43988,10862,36292,21044,248132,8291,44093,14853,51388,16394,11126,73104,10981,17902,13.8,23.88904767,23.15428571,322925,11856.82181,10203.7,28.9,12.45,12.08,327.33,572.0301543,51.1,58.1,51.8
9/1/14,226398,34622,6760,10172,39591,20497,16631,48152,11184,36487,22799,249256,8281,47063,15411,52344,16872,10689,68450,10828,19318,13.4,24.22952386,23.63761905,245441,11862.7319,14025.5,28.16,12.46,11.9,330.31,580.2958403,51.1,56.1,50.7
10/1/14,234778,37172,7448,10649,40188,21478,17277,50959,11725,37443,21917,261708,8648,49164,16430,54897,23236,11063,65828,11817,20625,12.88,22.61739104,23.12913043,334432,11855.63979,9909.8,26.14,11.61,11.48,308.41,545.5322359,50.8,57.9,50.3
11/1/14,204657,33411,6598,8217,35106,18511,14282,48956,9716,29699,18672,235011,7203,42969,14013,49783,21391,9162,61370,10470,18650,13.57,22.87157889,24.42789474,248254,11865.09593,12758.6,25.1,12.94,13.01,318.69,541.4912335,50.3,57.6,50.6
12/1/14,227327,37048,6634,8429,42098,22172,14575,50441,9611,38957,19534,245647,8123,51835,11894,53075,23076,9746,54461,13310,20127,15.09,22.71136373,24.79909091,333463,11849.7297,11482.53636,23.1,13.42,14,308.79,523.1903991,50.1,55.1,50.1
1/1/15,197571,32538,5992,8217,33976,17438,14575,43889,9377,31414,17593,216402,7671,46265,11778,49368,20657,10041,43994,8400,18228,15.89,21.4449999,24.139,321738,12138.60318,8136.8,24.17,13.42,13.87,302.75,511.0150116,49.8,53.5,50.6
2/1/15,182035,31793,5621,7727,30856,15393,13301,38185,9067,29058,16427,209320,7059,44373,12562,47155,18278,9390,43181,9062,18260,15.59,22.39052647,24.61947368,331747,12137.39283,10728.4,26.9,14.78,14.73,375.75,536.5190879,49.9,52.9,51
3/1/15,217700,38081,6439,9373,38928,19817,14603,45370,10790,35821,18295,234079,8118,51091,13770,53142,18036,10399,46293,10722,22508,15.48,22.77318191,24.78181818,287105,12133.76178,13950.1,27.42,15.02,13.48,375.32,558.1838711,50.1,51.5,51
4/1/15,212790,37175,6548,10160,36379,18709,13701,45097,11014,35329,17387,239350,8069,50483,12705,52937,19832,10341,47874,11107,26002,18.48,23.5323811,24.79333333,315092,12098.66162,12534.5,29.87,15.13,13.47,394.21,539.3044666,50.1,51.5,52.2
5/1/15,203494,36416,6200,9926,33592,16688,13278,43205,10844,33185,16848,238629,7836,48205,12144,53549,17496,9770,52392,11508,25729,19.01,24.1780002,25.0695,296454,12108.34442,13124.2,30.91,15.2,13.19,426.93,535.2389984,50.2,52.8,52
6/1/15,222633,37331,6821,11321,41031,21638,13974,46965,12201,34969,18020,245894,8448,51450,13149,52647,17898,10547,54450,12904,24401,18.49,23.85090905,25.32545455,292447,12104.71337,18814,31.6,14.82,13.1,432.6,532.9159128,50.2,53.5,52.2
7/1/15,212515,36716,6685,10923,38649,20613,12988,43118,11784,34010,17642,238939,8148,51649,14537,54047,16564,10447,51276,11869,20402,16.3,23.31681832,25.45409091,374680,12108.34442,12732.4,33.1,15.18,13.49,478.71,590.0936364,50,52.7,52.5
8/1/15,207160,35626,6885,10505,35139,17438,12749,44202,11419,33083,17552,227213,8110,49529,15043,53469,14627,9793,46787,11224,18631,14.76,22.84761905,24.93142857,275248,12108.34442,12843.5,34.65,15.09,13.46,518.46,636.8380969,49.7,51.1,52.4
9/1/15,220133,35891,6819,10552,40542,21428,12826,50310,11367,33484,18342,231373,8251,52867,16028,54015,16730,9792,42943,12022,18725,13.56,21.126667,23.44428571,274580,12093.82022,17798.7,32.63,14.92,13.03,520.96,617.9347563,49.8,50.2,52.3
10/1/15,220815,36230,7449,10770,39830,21416,12476,51365,11139,33464,18092,241078,8483,52727,17051,54448,21786,9562,44918,11983,20120,14.78,21.61863627,24.10045455,347604,12081.71672,13491.4,33.09,14.99,13.58,566.74,663.5927179,49.8,49.4,52
11/1/15,203846,34347,7100,9130,36078,18447,11220,50101,10077,28808,16985,220626,7578,49846,14722,51581,18232,8822,39410,11506,18929,14.79,21.14199995,24.944,269517,12047.82691,16069.4,34.48,15.39,14.65,657.7,735.3884979,49.6,48.4,52.3
12/1/15,219450,38039,7017,9019,44274,22923,11039,47335,10054,35622,17051,229391,8066,55955,11988,52755,18936,8918,38932,14183,19658,14.29,20.63227259,24.54,364075,12081.71672,13656.67273,34.98,15.19,14.16,669.26,755.3545478,49.7,48,52.8
1/1/16,181104,31702,5829,8360,32202,16026,10982,39486,9770,28646,14127,201017,7594,48518,11592,49277,16235,8850,32462,8648,17841,11.92,18.428421,22.28736842,258416,11373.66071,10134.1,36.25,14.51,14.28,601.06,718.4957918,49.4,48.2,53.2
2/1/16,188002,33251,5922,9209,32779,15420,10838,40253,10022,29475,16253,203224,7508,49669,13394,49990,15436,8922,28672,10321,19312,11.09,16.89849975,21.431,361757,11397.70408,11036.2,38.87,14.26,14.66,530.62,702.6890014,49,49.7,52.3
3/1/16,220011,38687,6742,10934,40977,20364,12135,46819,11223,34946,17548,231556,8478,56699,13373,54819,17487,9919,35015,12107,23659,12.12,18.06363636,22.94772727,335891,11387.39978,16788,39.26,14.8,14.93,572.37,727.056821,50.2,51.7,51.2
4/1/16,201513,35906,6459,10614,35684,17583,11209,40848,10634,33529,16630,222832,7932,51841,11595,51539,15933,9358,37899,11420,25315,12.41,18.26285724,23.5952381,331980,11371.37087,13109.3,40.52,14.92,14.18,613.59,736.833813,50.1,50.7,51.6
5/1/16,205558,35680,6731,11112,35930,17518,11426,43080,11141,33283,17175,233438,8084,53617,12473,54134,15711,9244,42642,12238,25295,11.61,18.20142876,23.97333333,277111,11390.83455,15460.5,41.24,15.1,14.34,697.47,712.1828555,50.1,51,51.7
6/1/16,223021,35747,6929,11945,42682,22420,11950,47298,12979,35160,18331,237261,8177,55250,12955,53486,16472,9806,43035,13681,24399,12.11,17.34681841,23.78363636,323320,11388.5447,22636.9,40.37,14.66,14.17,716.39,706.4863641,50,52.8,51.5
7/1/16,199033,33001,6610,10802,37437,19938,10909,41552,11557,30704,16461,217962,7652,50565,13072,51037,15672,8957,40842,10950,19215,12.71,15.69750005,24.24,322817,11347.32749,12768.3,43.34,14.67,13.71,741.47,725.7195038,49.9,52.3,52.8
8/1/16,219319,36710,7684,12069,38167,18631,12314,46342,12850,33962,19221,238640,8802,57013,15826,55150,17056,9983,42289,12700,19821,13.63,16.65217413,24.92347826,338438,11346.18257,14186.8,43.02,15.08,13.4,764.84,775.7934757,50.4,49.4,52
9/1/16,218491,35052,7265,11265,42097,21501,11724,49246,11562,32298,17982,230080,8217,55619,15546,53901,14645,9524,41445,12272,18911,14.52,17.31476181,24.92428571,323178,11332.4435,19836.2,41.83,14.61,13.26,788.97,773.6195272,50.4,51.7,51.7
10/1/16,214751,35597,7529,11007,39182,20387,11610,49194,11289,31098,18245,235255,7918,53709,15782,53073,19966,9413,44416,11905,19073,14.13,17.3871431,25.03047619,267523,11379.38532,11818.5,41.53,14.18,13.47,824.44,788.449521,51.2,52,52.6
11/1/16,212606,35644,8017,10203,38137,18754,11467,50258,10863,29351,18666,233960,7852,55990,14227,52826,20075,9430,40961,13016,19583,13.7,17.91619033,27.24428571,336544,11364.50133,18064,38.08,13.76,12.96,763.34,766.6409535,51.7,53.5,53.5
12/1/16,222638,38792,7619,9332,44679,23162,11088,48704,10364,34318,17742,237213,7836,56828,11614,52312,18287,9013,47741,14421,19161,13.43,18.91714295,29.81142857,346541,11337.02319,15076.25455,38.15,14.55,12.89,763.33,782.1714217,51.4,54.5,53.7
1/1/17,199089,35642,6780,9338,35392,17103,12066,43127,10221,29600,16923,223242,7673,52856,11745,50822,17128,9941,45885,9043,18149,13.28,19.4965003,29.8845,292812,11460.02175,13935.4,40.45,15.3,13.85,807.51,807.9047516,51.3,56,54.9
2/1/17,190749,32982,6206,9768,33489,15809,11911,39941,9869,29320,17263,216159,7176,49285,12345,48229,15691,9565,44433,10452,18983,14.01,19.50210526,30.73842105,363757,11475.06267,10924.3,39.49,15.05,13.64,835.75,816.9165809,51.6,57.6,55.2
3/1/17,231614,39919,7262,11676,42533,21244,14224,46800,12119,37090,19991,249839,8416,58102,12987,56701,18462,10716,48131,12481,23843,14.51,20.0643477,30.91782609,392816,11439.19587,21057.5,40.14,15.15,13.8,854.24,834.1113069,51.8,56.6,55.4
4/1/17,208945,36032,6594,10928,36640,18650,12875,44569,11022,33177,17108,229402,7582,50848,10611,53285,15388,9555,46558,11491,24084,14.44,20.31263147,29.94842105,273177,11448.45182,13635.5,40.86,15.23,13.62,903.39,844.0568397,51.2,55.3,56.2
5/1/17,225154,37618,7444,12269,38993,19568,13892,47492,12594,36048,18804,250092,8599,57691,12492,58944,16605,10457,45867,13545,25892,14.82,21.96954536,30.06454545,328841,11443.82384,16914.8,42.63,16.72,14.83,961.72,939.2840853,51.2,55.5,56.7
6/1/17,234192,37706,7349,12851,43661,23583,14068,50227,13048,35569,19713,245907,8623,58009,12447,56373,15566,10318,46080,14730,23761,15.44,21.82909095,30.74,428894,11446.13783,27015.9,45.18,17.11,14.96,990.44,953.7668235,51.7,56.7,57
7/1/17,209145,33897,7052,11677,39553,21261,12557,43730,11674,31613,17392,228554,7950,53088,13121,54113,14039,9948,44707,11416,20172,16.12,22.68100005,31.665,274980,11454.23679,13496,44.53,16.41,14.98,1008.48,942.8650085,51.4,56.5,57.4
8/1/17,237239,39450,8221,12897,41923,21621,14347,50924,13030,35986,20461,249492,8939,58696,15955,57319,14901,10857,48731,13402,20692,16.86,22.93826087,31.53130435,334000,11454.23679,14647.3,45.62,16.68,15.37,971.44,922.0230447,51.7,59.3,56.6
9/1/17,230272,36254,7380,11745,42610,22795,13766,53276,11786,33875,19580,237229,7888,54099,15174,53593,13886,10238,51618,11907,18826,17.2,22.95799985,31.6295,340837,11420.68397,20246.4,43.77,16.58,15.13,968.99,931.2995025,52.4,60.2,57.4
10/1/17,242070,40501,8313,12856,41581,20976,14201,54852,12488,35997,21281,253868,8633,57252,17061,56572,19124,10877,50805,12711,20833,17.69,23.28727232,33.37545455,298555,11455.39378,11122,44.39,16.58,14.78,1000.72,982.5222752,51.6,58.5,58.1
11/1/17,234968,38609,8312,11508,41656,21155,13062,55724,11818,33424,20855,249612,8031,56969,15413,54307,18588,10400,52251,13261,20392,17.99,22.90285733,33.45714286,346922,11447.29482,16566,48.52,16.06,15.18,1139.81,1030.492844,51.8,58.2,58.5
